node1,node2
33,388
31,388
127,367
194,286
131,278
104,213
388,33
53,286
0,361
12,366
24,262
120,371
122,391
92,367
68,326
5,278
31,247
33,390
104,379
61,213
78,299
119,235
144,374
156,323
26,282
161,334
180,270
286,194
110,391
0,244
131,281
57,279
53,268
167,262
100,342
58,287
371,120
366,12
80,219
136,388
5,331
92,341
69,367
105,363
24,278
30,326
68,361
127,215
122,217
31,322
192,352
39,213
146,379
87,247
91,296
48,390
101,282
115,329
144,279
78,302
119,395
167,323
33,286
120,375
106,248
104,235
165,391
26,299
18,239
161,274
110,203
53,294
184,374
183,262
5,394
4,218
159,287
80,268
95,392
154,281
142,265
86,363
61,270
0,338
1,342
79,367
83,219
156,226
123,331
113,334
12,371
69,303
71,341
158,313
194,278
162,306
100,366
31,352
10,244
62,349
