node1,node2
2933,10630
20981,19929
429,6549
27037,6798
11442,6182
25085,6495
8616,21039
4391,5513
1404,12218
17173,11675
26345,12977
18373,12348
16616,17522
16734,5975
16280,25001
22234,6353
13254,6994
504,5893
13724,5817
11925,5238
14222,5349
9111,6957
16568,22857
12737,27048
8441,5760
18778,11677
16305,21171
8643,21770
1019,6745
13064,5251
3001,6734
6169,25097
10106,22037
17059,18037
8959,9474
3755,24670
2212,18879
8138,20913
18640,6708
7818,27006
8295,5463
2160,6420
16896,12852
24085,16947
168,23272
2050,23652
13473,6637
8748,22647
25150,12578
16530,6513
10997,22757
6269,18907
2636,23182
3583,10619
1867,22963
8779,6371
8672,16136
8659,5646
9924,5925
19423,16526
6872,6079
197,25978
2513,8448
21817,18812
18797,23768
16026,13827
16713,23178
8943,17663
13151,22185
13423,10511
684,6491
8334,6864
1788,5910
6168,24389
20060,5699
3134,6294
9564,6662
24005,5170
20398,5595
7056,5367
11128,23610
17780,25346
25069,7339
17074,26164
18011,5138
8836,26068
10088,6022
8326,19173
2990,22854
7114,21846
15868,25532
4789,23251
17948,6322
11654,23390
8018,17712
17986,24804
17936,6526
2426,5791
26763,22812
16891,6460
