node1,node2
492,18
466,281
375,229
435,301
458,210
465,277
483,439
451,444
447,65
394,32
403,66
494,115
472,261
487,166
252,14
430,53
415,96
401,376
404,201
452,112
338,331
315,366
449,235
299,384
424,342
484,36
434,153
463,428
475,237
276,19
473,284
422,274
429,294
469,63
493,251
476,388
467,362
35,478
459,360
328,179
399,138
279,418
489,365
412,202
482,41
474,151
413,356
267,296
400,319
347,236
419,94
380,272
385,321
357,369
355,167
497,168
481,148
485,234
194,405
373,372
416,132
454,76
470,374
270,326
342,424
327,164
383,304
247,442
478,35
366,315
291,117
455,392
207,220
409,155
314,242
386,215
379,55
331,338
310,228
175,255
6,445
364,363
418,279
438,427
57,283
303,316
456,307
468,124
160,340
321,385
179,328
186,278
94,419
393,187
352,286
209,358
24,437
395,97
26,448
264,233
