node1,node2
285,457
457,285
421,333
333,421
387,190
159,382
382,159
190,387
28,200
334,250
250,334
320,443
443,320
208,72
72,208
200,28
191,410
410,191
327,483
489,343
470,289
32,365
93,15
207,65
186,366
466,16
386,239
263,445
277,374
385,220
219,465
375,451
20,104
252,281
435,229
315,117
458,215
439,30
269,55
175,14
86,394
287,37
291,278
102,95
447,337
332,210
6,326
54,114
338,301
17,256
248,311
308,280
444,1
226,321
288,255
181,77
139,238
344,133
137,486
264,403
29,342
115,233
424,290
35,211
487,404
127,378
426,405
347,478
201,494
199,296
96,258
163,103
36,452
328,276
66,53
472,33
194,462
110,418
270,42
357,18
92,261
279,48
380,23
492,236
312,113
99,331
300,101
19,272
9,106
212,74
433,43
430,47
2,399
145,240
359,371
246,415
169,51
376,60
384,217
251,173
