node1,node2
394,489
445,458
394,447
369,489
327,465
366,458
365,444
435,484
290,424
328,445
447,394
357,366
486,489
327,483
401,424
444,451
405,458
269,365
315,465
418,432
394,466
489,369
445,328
404,447
484,435
281,444
439,486
366,357
422,483
327,451
379,465
478,489
394,470
433,445
424,428
315,404
403,447
264,378
365,487
458,405
466,394
269,484
374,472
435,494
263,482
290,439
281,328
444,486
432,418
424,401
248,311
332,465
451,327
369,498
366,489
379,445
375,483
337,470
466,486
447,478
220,422
404,315
374,489
452,458
394,492
451,472
444,365
403,487
269,462
279,482
357,494
378,264
385,465
418,471
278,327
281,386
405,426
337,439
435,477
445,433
311,328
447,483
369,375
470,394
379,486
489,494
299,424
374,466
332,484
277,366
220,248
327,394
426,451
465,472
315,428
451,470
301,492
439,290
432,478
458,459
