node1,node2
375,428
428,375
400,456
433,391
391,433
456,400
377,344
360,374
311,381
381,311
344,377
386,385
424,299
439,437
318,411
411,318
385,386
229,493
256,401
53,436
353,474
493,229
363,416
54,448
357,335
192,371
341,158
401,256
448,54
443,475
475,443
185,340
436,53
120,469
11,453
430,480
474,353
299,424
218,333
98,390
40,420
326,370
190,405
333,218
158,341
155,397
390,98
343,364
416,363
340,185
420,40
388,258
145,376
469,120
370,326
403,426
68,367
384,455
453,11
397,155
405,190
281,399
364,343
396,354
179,322
49,380
367,68
395,164
356,130
371,192
442,440
376,145
334,275
346,237
258,388
335,357
104,451
426,403
387,471
380,49
130,356
322,179
237,346
19,264
316,286
399,281
207,287
124,345
275,334
354,396
273,393
164,395
355,16
264,19
339,177
451,104
345,124
286,316
16,355
269,165
