node1,node2
95,289
139,223
163,358
95,294
52,289
163,371
223,139
60,363
185,358
46,284
161,294
95,254
52,287
163,365
60,377
63,289
182,371
185,383
95,223
3,208
46,269
139,275
161,353
154,305
191,338
169,358
163,393
13,284
119,294
52,283
123,363
53,212
60,325
182,359
65,287
30,254
63,378
17,230
114,360
383,185
1,307
158,365
16,208
78,397
138,370
108,223
89,285
86,289
161,299
143,353
176,240
191,371
61,269
46,377
305,154
163,338
73,358
275,139
3,284
95,260
169,294
119,310
125,256
77,234
123,374
33,243
182,393
53,200
283,52
30,204
185,363
60,352
101,399
13,329
188,391
117,254
15,262
165,223
63,325
118,354
92,287
17,212
65,360
158,359
114,378
62,230
18,373
184,383
43,337
25,273
307,1
138,364
397,78
99,285
193,299
143,370
175,365
103,225
9,208
161,346
