node1,node2
245,13
348,150
265,38
150,348
13,245
38,265
337,12
320,135
12,337
359,81
135,320
319,20
334,163
81,359
20,319
163,334
285,10
295,123
324,131
271,45
10,285
123,295
131,324
358,9
45,271
291,115
9,358
268,16
281,51
115,291
375,47
314,182
332,129
16,268
51,281
270,5
47,375
182,314
129,332
317,99
5,270
382,88
301,127
379,54
399,177
99,317
219,80
54,379
127,301
88,382
365,179
177,399
240,64
376,62
374,137
80,219
353,161
236,118
179,365
64,240
137,374
338,158
62,376
223,8
161,353
263,14
118,236
210,48
292,148
249,74
340,49
370,196
158,338
385,76
8,223
14,263
344,120
148,292
277,104
228,42
74,249
49,340
48,210
209,156
311,126
196,370
313,171
120,344
76,385
104,277
42,228
256,106
333,71
126,311
156,209
171,313
205,151
106,256
279,124
71,333
