node1,node2
467,467
413,494
450,469
494,413
491,438
469,450
358,386
262,398
438,491
238,394
260,252
386,358
398,262
46,41
252,260
41,46
432,466
394,238
102,95
316,284
497,485
269,249
284,316
95,102
466,432
485,497
249,269
213,315
212,335
315,213
335,212
310,219
334,244
244,334
458,409
231,381
493,441
441,493
409,458
219,310
381,231
342,351
395,209
351,342
352,293
357,320
209,395
320,357
293,352
482,410
363,388
39,51
388,363
51,39
410,482
454,457
457,454
487,422
254,374
195,192
99,159
203,270
270,203
463,464
159,99
422,487
192,195
374,254
484,453
418,456
464,463
323,385
137,165
165,137
456,418
426,473
453,484
473,426
427,405
299,309
309,299
405,427
465,443
385,323
443,465
459,415
415,459
239,347
328,245
89,83
347,239
245,328
202,390
390,202
83,89
278,378
207,333
460,401
235,300
377,295
