node1,node2
457,475
475,457
488,408
408,488
407,448
448,407
464,460
460,464
473,489
489,473
422,462
462,422
445,499
499,445
496,443
443,496
331,127
340,103
327,19
227,149
315,116
348,171
219,86
251,82
257,168
281,178
244,81
398,92
392,153
269,39
295,152
381,132
355,182
210,83
223,100
302,184
375,176
301,21
370,160
229,71
353,179
373,50
312,44
367,78
216,196
388,64
357,85
390,96
278,108
264,188
347,33
320,14
267,186
220,148
297,80
328,48
285,175
386,11
249,198
248,63
293,5
336,8
324,102
259,31
214,164
308,47
271,94
307,113
246,194
235,51
254,145
364,22
341,30
305,167
284,36
394,75
374,158
298,66
384,121
363,25
250,189
261,54
343,45
202,140
329,128
362,165
309,35
333,133
234,7
218,93
272,70
217,122
231,120
206,15
314,142
247,111
277,77
263,67
371,170
358,139
