node1,node2
62,341
32,235
62,381
87,379
24,341
120,363
32,287
62,386
39,232
87,231
110,388
92,390
61,296
24,374
100,235
133,379
12,246
120,306
33,346
131,341
105,203
8,342
68,381
53,268
180,363
177,386
77,287
144,297
191,303
62,391
32,244
4,286
1,301
162,335
61,231
87,247
92,207
119,345
159,379
26,219
156,390
166,365
69,374
179,399
388,110
19,368
235,100
183,270
113,296
81,299
147,366
39,329
24,331
120,392
198,341
30,346
31,229
184,369
104,246
12,232
51,326
33,381
167,228
68,334
40,227
133,363
53,289
180,303
105,268
79,287
144,386
177,297
34,203
15,342
8,322
56,306
131,317
69,271
191,335
146,238
49,288
113,391
186,361
162,379
135,292
345,119
193,236
11,310
19,294
78,286
159,387
102,208
120,372
231,61
21,263
1,302
47,207
154,353
188,365
17,204
