node1,node2
388,111
322,10
286,8
299,4
391,58
341,39
279,159
329,180
251,104
213,100
324,92
367,102
231,0
352,56
278,101
379,18
243,71
345,47
111,388
248,144
244,99
10,322
246,122
380,68
282,173
392,135
4,299
253,156
290,119
265,161
8,286
326,191
283,61
233,138
58,391
318,53
357,131
159,279
214,33
215,177
235,178
217,24
203,26
39,341
366,184
271,192
247,15
346,105
180,329
261,146
92,324
102,367
320,78
304,194
311,62
56,352
363,5
0,231
285,9
104,251
281,113
100,213
361,152
395,118
218,34
47,345
334,3
122,246
101,278
144,248
236,96
312,69
375,145
18,379
71,243
161,265
222,158
321,127
173,282
339,30
330,1
135,392
294,193
207,94
138,233
119,290
99,244
61,283
317,57
302,187
315,37
68,380
191,326
362,114
245,91
372,196
53,318
156,253
178,235
239,125
