node1,node2
388,104
104,388
294,127
262,180
278,33
374,194
277,91
361,110
366,105
215,39
371,61
127,294
341,122
33,278
334,24
180,262
286,31
194,374
268,165
322,53
110,361
105,366
326,161
299,69
91,277
247,92
244,119
249,156
391,146
372,131
61,371
282,68
392,12
39,215
342,86
122,341
323,195
390,5
213,144
239,78
31,286
367,80
24,334
53,322
281,58
270,30
296,81
165,268
161,326
364,158
69,299
343,57
218,115
219,191
92,247
217,120
271,32
119,244
235,26
324,14
380,142
274,188
68,282
146,391
302,100
394,62
220,15
86,342
207,183
131,372
335,155
156,249
12,392
287,10
222,66
346,8
375,167
144,213
314,95
352,0
212,71
80,367
5,390
345,136
195,323
227,159
78,239
395,79
200,3
58,281
338,106
305,101
30,270
248,184
81,296
303,82
246,47
383,11
331,177
329,49
