node1,node2
388,62
367,32
306,180
244,39
379,92
390,170
232,80
361,100
222,177
317,12
62,388
235,105
32,367
219,191
180,306
326,61
209,131
39,244
295,21
363,194
279,104
270,146
296,124
289,33
92,379
201,24
311,77
251,198
322,142
177,222
100,361
170,390
368,190
80,232
385,166
12,317
342,162
374,197
386,51
286,79
105,235
314,118
227,40
366,107
391,167
191,219
248,110
104,279
61,326
247,144
399,49
215,31
277,71
287,161
298,159
146,270
21,295
299,34
33,289
194,363
351,14
231,165
131,209
281,172
268,69
274,19
315,183
203,68
124,296
397,120
228,76
246,101
262,115
212,106
269,94
213,81
142,322
198,251
349,156
190,368
24,201
162,342
381,15
197,374
331,113
352,127
77,311
166,385
328,57
79,286
204,164
253,86
118,314
229,26
365,188
282,130
107,366
371,153
51,386
293,55
