node1,node2
7714,11474
17074,5749
8257,17321
11397,12757
7215,18733
429,18131
1490,6221
23723,5775
7808,24809
2561,5275
1244,25485
9254,5135
6872,6407
3640,25574
13064,3142
2672,21872
25730,5357
11187,5206
14200,12431
24143,13837
8637,12476
11016,16842
10634,22185
11100,22269
8450,23525
19012,17216
20742,16642
8654,24593
2775,21512
4892,17475
18711,6851
14124,5336
504,23674
8271,21741
15644,20985
2076,745
9151,22098
11227,22836
502,23579
14897,6238
19225,25978
1213,19771
14760,5370
1551,21053
20915,11903
25984,4587
2848,11580
18266,7776
16781,6867
192,7139
11925,6642
15583,18865
23866,8506
1632,6485
16810,16024
1657,5170
1655,23270
11496,6201
7890,5427
17197,20861
20622,25035
7397,10699
1349,17558
20869,6204
631,11946
4287,14374
9137,5494
701,6752
26589,23473
16758,22577
1278,23692
2621,23245
4130,23589
8138,5550
16696,24354
20739,7762
232,25776
3583,6353
7760,17555
24680,26997
8042,21466
16695,12441
4249,19144
18924,22536
16645,5942
22610,17653
23732,6488
17986,10968
8942,8381
18521,6178
8002,23177
1921,23685
1316,24891
12062,5333
13724,20950
295,23236
2590,25004
8089,22973
3042,6463
1465,20989
